X,Y,BUSCATCLAS,SUPPLIED_S,SRCDATAID,OCCTYPDESC,BUSCATDESC,DESC,HLTH_SDA_N,LOCALITY,CON_EMAIL,PH_ADDRESS,LOC_HLTH_C,LOC_HLTH_N,KEYWORDS,CUST_ORG,LONGITUDE,HLTH_A_NM,HLTH_A_C,GEOCODE,SITEGEOIND,DATEUPDT,CON_PHONE,SHAPE,SEQUENCE_I,HLTH_SDA_C,LATITUDE,IMAGE_URL,WEB_URL,CON_FAX,POSTAL_COD,ST_ADDRESS,ALIAS_ADDR,OCC_NAME
-120.235891,55.749448,hospitals,Y,704,Hospitals,Hospitals,Hospital,Northeast,Dawson Creek,,"11100 13th Street, Dawson Creek, BC",59,Peace River South,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-120.235891,Northern Health Authority,5,Air Photo,,2.01511E+13,250-784-7350,,123,53,55.749448,,,,V1G 3W8,11100 13th Street,"11100 13th Street, Dawson Creek, BC",Dawson Creek and District Hospital
-122.499541,52.981336,hospitals,Y,705,Hospitals,Hospitals,Hospital,Northern Interior,Quesnel,,"543 Front Street, Quesnel, BC",28,Quesnel,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-122.499541,Northern Health Authority,5,Air Photo,,2.01511E+13,250-992-0600,,125,52,52.981336,,,,V2J 2K7,543 Front Street,"543 Front Street, Quesnel, BC",G.R. Baker Memorial Hospital
-125.761265,54.235479,hospitals,Y,707,Hospitals,Hospitals,Hospital,Northern Interior,Burns Lake,,"741 Centre Street, Burns Lake, BC",55,Burns Lake,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-125.761265,Northern Health Authority,5,Street address,,2.01511E+13,250-692-2400,,127,52,54.235479,,,,V0J 1E0,741 Centre Street,"741 Centre Street, Burns Lake, BC",Burns Lakes and District Hospital
-120.161107,53.300961,hospitals,Y,713,Hospitals,Hospitals,Hospital,Northern Interior,McBride,,"594 King Street, McBride, BC",57,Prince George,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-120.161107,Northern Health Authority,5,Air Photo,,2.01511E+13,250-569-2251,,129,52,53.300961,,,,V0J 2E0,594 King Street,"594 King Street, McBride, BC",McBride and District Hospital
-122.705072,58.808961,hospitals,Y,714,Hospitals,Hospitals,Hospital,Northeast,Fort Nelson,,"5315 Liard Street, Fort Nelson, BC",81,Fort Nelson,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-122.705072,Northern Health Authority,5,Air Photo,,2.01511E+13,250-774-6916,,131,53,58.808961,,,,V0C 1R0,5315 Liard Street,"5315 Liard Street, Fort Nelson, BC",Fort Nelson General Hospital
-123.100679,55.33744,hospitals,Y,715,Hospitals,Hospitals,Hospital,Northern Interior,MacKenzie,,"45 Centennial Drive, MacKenzie, BC",57,Prince George,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-123.100679,Northern Health Authority,5,Street address,,2.01511E+13,250-997-3263,,133,52,55.33744,,,,V0J 2C0,45 Centennial Drive,"45 Centennial Drive, MacKenzie, BC",MacKenzie and District Hospital
-121.644453,55.696345,hospitals,Y,716,Hospitals,Hospitals,Hospital,Northeast,Chetwynd,,"5500 Hospital Road, Chetwynd, BC",59,Peace River South,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-121.644453,Northern Health Authority,5,Street address,,2.01511E+13,250-788-2236,,135,53,55.696345,,,,V0C 1J0,5500 Hospital Road,"5500 Hospital Road, Chetwynd, BC",Chetwynd General Hospital
-124.241948,54.440402,hospitals,Y,717,Hospitals,Hospitals,Hospital,Northern Interior,Fort St. James,,"Stuart Drive, Fort St. James, BC",56,Nechako,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-124.241948,Northern Health Authority,5,Street address,,2.01511E+13,250-996-8201,,137,52,54.440402,,,,V0J 1P0,Stuart Drive,"Stuart Drive, Fort St. James, BC",Stuart Lake Hospital
-127.651405,55.259477,hospitals,Y,901,Hospitals,Hospitals,Hospital,Northwest,Hazelton,,"2510 Highway 62, Hazelton, BC",53,Upper Skeena,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-127.651405,Northern Health Authority,5,Air Photo,,2.01511E+13,250-842-5211,,139,51,55.259477,,,,V0J 1Y0,2510 Highway 62,"2510 Highway 62, Hazelton, BC",Wrinch Memorial Hospital
-130.331583,54.304443,hospitals,Y,902,Hospitals,Hospitals,Hospital,Northwest,Prince Rupert,,"1305 Summit Avenue, Prince Rupert, BC",52,Prince Rupert,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-130.331583,Northern Health Authority,5,Air Photo,,2.01511E+13,250-624-2171,,141,51,54.304443,,,,V8J 2A6,1305 Summit Avenue,"1305 Summit Avenue, Prince Rupert, BC",Prince Rupert Regional Hospital
-127.162874,54.78492,hospitals,Y,903,Hospitals,Hospitals,Hospital,Northwest,Smithers,,"3950 8th Avenue, Smithers, BC",54,Smithers,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-127.162874,Northern Health Authority,5,Air Photo,,2.01511E+13,250-847-2611,,143,51,54.78492,,,,V0J 2N0,3950 8th Avenue,"3950 8th Avenue, Smithers, BC",Bulkley Valley District Hospital
-132.07095,53.254999,hospitals,Y,907,Hospitals,Hospitals,Hospital,Northwest,Queen Charlotte,,"3209 3rd Avenue, Queen Charlotte, BC",50,Queen Charlotte,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-132.07095,Northern Health Authority,5,Air Photo,,2.01511E+13,250-559-4301,,145,51,53.254999,,,,V0T 1S0,3209 3rd Avenue,"3209 3rd Avenue, Queen Charlotte, BC",Queen Charlotte Islands General Hospital
-129.99034,55.940025,hospitals,Y,910,Hospitals,Hospitals,Hospital,Northwest,Stewart,,"904 Brightwell Street, Stewart, BC",51,Snow Country,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-129.99034,Northern Health Authority,5,Air Photo,,2.01511E+13,250-636-2221,,147,51,55.940025,,,,V0T 1W0,904 Brightwell Street,"904 Brightwell Street, Stewart, BC",Stewart General Hospital
-128.596045,54.51037,hospitals,Y,912,Hospitals,Hospitals,Hospital,Northwest,Terrace,,"4720 Haugland Avenue, Terrace, BC",88,Terrace,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-128.596045,Northern Health Authority,5,Air Photo,,2.01511E+13,250-635-2211,,149,51,54.51037,,,,V8G 2W7,4720 Haugland Avenue,"4720 Haugland Avenue, Terrace, BC",Mills Memorial Hospital
-128.650101,54.049071,hospitals,Y,917,Hospitals,Hospitals,Hospital,Northwest,Kitimat,,"920 Lahakas Blvd South, Kitimat, BC",80,Kitimat,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-128.650101,Northern Health Authority,5,Street address,,2.01511E+13,250-632-2121,,151,51,54.049071,,,,V8C 2S3,920 Lahakas Blvd South,"920 Lahakas Blvd South, Kitimat, BC",Kitimat Hospital and Health Centre
-132.15676,54.019433,hospitals,Y,918,Hospitals,Hospitals,Hospital,Northwest,Masset,,"2520 Harrison Avenue, Masset, BC",50,Queen Charlotte,Northern Health Authority,Ministry of Health/Provincial Health Services Authority,-132.15676,Northern Health Authority,5,Street address,,2.01511E+13,250-626-4700,,153,51,54.019433,,,,V0T 1M0,2520 Harrison Avenue,"2520 Harrison Avenue, Masset, BC",Masset Hospital
-123.125866,49.244819,hospitals,Y,105,Hospitals,Hospitals,Hospital,Provincial Health Services Authority,Vancouver,,"4480 Oak Street, Vancouver, BC",600,Provincial Health Services Authority,Provincial Health Services Authority,Ministry of Health/Provincial Health Services Authority,-123.125866,Provincial Health Services Authority,6,Air Photo,,2.01511E+13,1-888-300-3088,,155,61,49.244819,,,,V6H 3V4,4480 Oak Street,"4480 Oak Street, Vancouver, BC",BC Children's Hospital
